AUN,LEA Name,County
108051503,Chestnut Ridge SD,Bedford
108053003,Everett Area SD,Bedford
108056004,Northern Bedford County SD,Bedford
108058003,Tussey Mountain SD,Bedford
114060503,Antietam SD,Berks
114060753,Boyertown Area SD,Berks
114060853,Brandywine Heights Area SD,Berks
114061103,Conrad Weiser Area SD,Berks
114061503,Daniel Boone Area SD,Berks
114062003,Exeter Township SD,Berks
114062503,Fleetwood Area SD,Berks
114063003,Governor Mifflin SD,Berks
114063503,Hamburg Area SD,Berks
114064003,Kutztown Area SD,Berks
114065503,Muhlenberg SD,Berks
114066503,Oley Valley SD,Berks
114067002,Reading SD,Berks
114067503,Schuylkill Valley SD,Berks
114068003,Tulpehocken Area SD,Berks
114068103,Twin Valley SD,Berks
114069103,Wilson SD,Berks
114069353,Wyomissing Area SD,Berks
108070502,Altoona Area SD,Blair
108071003,Bellwood-Antis SD,Blair
108071504,Claysburg-Kimmel SD,Blair
108073503,Hollidaysburg Area SD,Blair
108077503,Spring Cove SD,Blair
108078003,Tyrone Area SD,Blair
108079004,Williamsburg Community SD,Blair
117080503,Athens Area SD,Bradford
117081003,Canton Area SD,Bradford
117083004,Northeast Bradford SD,Bradford
117086003,Sayre Area SD,Bradford
117086503,Towanda Area SD,Bradford
117086653,Troy Area SD,Bradford
117089003,Wyalusing Area SD,Bradford
122091002,Bensalem Township SD,Bucks
122091303,Bristol Borough SD,Bucks
122091352,Bristol Township SD,Bucks
122092002,Centennial SD,Bucks
122092102,Central Bucks SD,Bucks
122092353,Council Rock SD,Bucks
122097203,Morrisville Borough SD,Bucks
122097502,Neshaminy SD,Bucks
122097604,New Hope-Solebury SD,Bucks
122098003,Palisades SD,Bucks
122098103,Pennridge SD,Bucks
122098202,Pennsbury SD,Bucks
122098403,Quakertown Community SD,Bucks
104101252,Butler Area SD,Butler
104103603,Karns City Area SD,Butler
104107803,Knoch SD,Butler
104105003,Mars Area SD,Butler
104105353,Moniteau SD,Butler
104107903,Seneca Valley SD,Butler
104107503,Slippery Rock Area SD,Butler
108110603,Blacklick Valley SD,Cambria
108111203,Cambria Heights SD,Cambria
108111303,Central Cambria SD,Cambria
108111403,Conemaugh Valley SD,Cambria
108112003,Ferndale Area SD,Cambria
108112203,Forest Hills SD,Cambria
108112502,Greater Johnstown SD,Cambria
108114503,Northern Cambria SD,Cambria
108116003,Penn Cambria SD,Cambria
108116303,Portage Area SD,Cambria
108116503,Richland SD,Cambria
108118503,Westmont Hilltop SD,Cambria
109122703,Cameron County SD,Cameron
121135003,Jim Thorpe Area SD,Carbon
121135503,Lehighton Area SD,Carbon
121136503,Palmerton Area SD,Carbon
121136603,Panther Valley SD,Carbon
121139004,Weatherly Area SD,Carbon
110141003,Bald Eagle Area SD,Centre
110141103,Bellefonte Area SD,Centre
110147003,Penns Valley Area SD,Centre
110148002,State College Area SD,Centre
124150503,Avon Grove SD,Chester
124151902,Coatesville Area SD,Chester
124152003,Downingtown Area SD,Chester
124153503,Great Valley SD,Chester
124154003,Kennett Consolidated SD,Chester
124156503,Octorara Area SD,Chester
124156603,Owen J Roberts SD,Chester
124156703,Oxford Area SD,Chester
124157203,Phoenixville Area SD,Chester
124157802,Tredyffrin-Easttown SD,Chester
124158503,Unionville-Chadds Ford SD,Chester
124159002,West Chester Area SD,Chester
106160303,Allegheny-Clarion Valley SD,Clarion
106161203,Clarion Area SD,Clarion
106161703,Clarion-Limestone Area SD,Clarion
106166503,Keystone SD,Clarion
106167504,North Clarion County SD,Clarion
106168003,Redbank Valley SD,Clarion
106169003,Union SD,Clarion
110171003,Clearfield Area SD,Clearfield
110171803,Curwensville Area SD,Clearfield
106172003,DuBois Area SD,Clearfield
110173003,Glendale SD,Clearfield
110173504,Harmony Area SD,Clearfield
110175003,Moshannon Valley SD,Clearfield
110177003,Philipsburg-Osceola Area SD,Clearfield
110179003,West Branch Area SD,Clearfield
110183602,Keystone Central SD,Clinton
116191004,Benton Area SD,Columbia
116191103,Berwick Area SD,Columbia
116191203,Bloomsburg Area SD,Columbia
116191503,Central Columbia SD,Columbia
116195004,Millville Area SD,Columbia
116197503,Southern Columbia Area SD,Columbia
105201033,Conneaut SD,Crawford
105201352,Crawford Central SD,Crawford
105204703,Penncrest SD,Crawford
115210503,Big Spring SD,Cumberland
115211003,Camp Hill SD,Cumberland
115211103,Carlisle Area SD,Cumberland
115211603,Cumberland Valley SD,Cumberland
115212503,East Pennsboro Area SD,Cumberland
115216503,Mechanicsburg Area SD,Cumberland
115218003,Shippensburg Area SD,Cumberland
115218303,South Middleton SD,Cumberland
115221402,Central Dauphin SD,Dauphin
115221753,Derry Township SD,Dauphin
115222504,Halifax Area SD,Dauphin
115222752,Harrisburg City SD,Dauphin
115224003,Lower Dauphin SD,Dauphin
115226003,Middletown Area SD,Dauphin
115226103,Millersburg Area SD,Dauphin
115228003,Steelton-Highspire SD,Dauphin
115228303,Susquehanna Township SD,Dauphin
115229003,Upper Dauphin Area SD,Dauphin
125231232,Chester-Upland SD,Delaware
125231303,Chichester SD,Delaware
125234103,Garnet Valley SD,Delaware
125234502,Haverford Township SD,Delaware
125235103,Interboro SD,Delaware
125235502,Marple Newtown SD,Delaware
125236903,Penn-Delco SD,Delaware
125237603,Radnor Township SD,Delaware
125237702,Ridley SD,Delaware
125237903,Rose Tree Media SD,Delaware
125238402,Southeast Delco SD,Delaware
125238502,Springfield SD,Delaware
125239452,Upper Darby SD,Delaware
125239603,Wallingford-Swarthmore SD,Delaware
125239652,William Penn SD,Delaware
109243503,Johnsonburg Area SD,Elk
109246003,Ridgway Area SD,Elk
109248003,Saint Marys Area SD,Elk
105251453,Corry Area SD,Erie
105252602,Erie City SD,Erie
105253303,Fairview SD,Erie
105253553,Fort LeBoeuf SD,Erie
105253903,General McLane SD,Erie
105254053,Girard SD,Erie
105254353,Harbor Creek SD,Erie
105256553,Iroquois SD,Erie
105257602,Millcreek Township SD,Erie
105258303,North East SD,Erie
105258503,Northwestern SD,Erie
105259103,Union City Area SD,Erie
105259703,Wattsburg Area SD,Erie
101260303,Albert Gallatin Area SD,Fayette
101260803,Brownsville Area SD,Fayette
101261302,Connellsville Area SD,Fayette
101262903,Frazier SD,Fayette
101264003,Laurel Highlands SD,Fayette
101268003,Uniontown Area SD,Fayette
106272003,Forest Area SD,Forest
112281302,Chambersburg Area SD,Franklin
112282004,Fannett-Metal SD,Franklin
112283003,Greencastle-Antrim SD,Franklin
112286003,Tuscarora SD,Franklin
112289003,Waynesboro Area SD,Franklin
111291304,Central Fulton SD,Fulton
111292304,Forbes Road SD,Fulton
111297504,Southern Fulton SD,Fulton
101301303,Carmichaels Area SD,Greene
101301403,Central Greene SD,Greene
101303503,Jefferson-Morgan SD,Greene
101306503,Southeastern Greene SD,Greene
101308503,West Greene SD,Greene
111312503,Huntingdon Area SD,Huntingdon
111312804,Juniata Valley SD,Huntingdon
111316003,Mount Union Area SD,Huntingdon
111317503,Southern Huntingdon County SD,Huntingdon
128323303,Homer-Center SD,Indiana
128323703,Indiana Area SD,Indiana
128325203,Marion Center Area SD,Indiana
128326303,Penns Manor Area SD,Indiana
128327303,Purchase Line SD,Indiana
128321103,River Valley SD,Indiana
128328003,United SD,Indiana
106330703,Brockway Area SD,Jefferson
106330803,Brookville Area SD,Jefferson
106338003,Punxsutawney Area SD,Jefferson
111343603,Juniata County SD,Juniata
119350303,Abington Heights SD,Lackawanna
119351303,Carbondale Area SD,Lackawanna
119352203,Dunmore SD,Lackawanna
119354603,Lakeland SD,Lackawanna
119355503,Mid Valley SD,Lackawanna
119356503,North Pocono SD,Lackawanna
119356603,Old Forge SD,Lackawanna
119357003,Riverside SD,Lackawanna
119357402,Scranton SD,Lackawanna
119358403,Valley View SD,Lackawanna
113361303,Cocalico SD,Lancaster
113361503,Columbia Borough SD,Lancaster
113361703,Conestoga Valley SD,Lancaster
113362203,Donegal SD,Lancaster
113362303,Eastern Lancaster County SD,Lancaster
113362403,Elizabethtown Area SD,Lancaster
113362603,Ephrata Area SD,Lancaster
113363103,Hempfield SD,Lancaster
113363603,Lampeter-Strasburg SD,Lancaster
113364002,Lancaster SD,Lancaster
113364403,Manheim Central SD,Lancaster
113364503,Manheim Township SD,Lancaster
113365203,Penn Manor SD,Lancaster
113365303,Pequea Valley SD,Lancaster
113367003,Solanco SD,Lancaster
113369003,Warwick SD,Lancaster
104372003,Ellwood City Area SD,Lawrence
104374003,Laurel SD,Lawrence
104375003,Mohawk Area SD,Lawrence
104375203,Neshannock Township SD,Lawrence
104375302,New Castle Area SD,Lawrence
104376203,Shenango Area SD,Lawrence
104377003,Union Area SD,Lawrence
104378003,Wilmington Area SD,Lawrence
113380303,Annville-Cleona SD,Lebanon
113381303,Cornwall-Lebanon SD,Lebanon
113382303,Eastern Lebanon County SD,Lebanon
113384603,Lebanon SD,Lebanon
113385003,Northern Lebanon SD,Lebanon
113385303,Palmyra Area SD,Lebanon
121390302,Allentown City SD,Lehigh
121391303,Catasauqua Area SD,Lehigh
121392303,East Penn SD,Lehigh
121394503,Northern Lehigh SD,Lehigh
121394603,Northwestern Lehigh SD,Lehigh
121395103,Parkland SD,Lehigh
121395603,Salisbury Township SD,Lehigh
121395703,Southern Lehigh SD,Lehigh
121397803,Whitehall-Coplay SD,Lehigh
118401403,Crestwood SD,Luzerne
118401603,Dallas SD,Luzerne
118402603,Greater Nanticoke Area SD,Luzerne
118403003,Hanover Area SD,Luzerne
118403302,Hazleton Area SD,Luzerne
118403903,Lake-Lehman SD,Luzerne
118406003,Northwest Area SD,Luzerne
118406602,Pittston Area SD,Luzerne
118408852,Wilkes-Barre Area SD,Luzerne
118409203,Wyoming Area SD,Luzerne
118409302,Wyoming Valley West SD,Luzerne
117412003,East Lycoming SD,Lycoming
117414003,Jersey Shore Area SD,Lycoming
117414203,Loyalsock Township SD,Lycoming
117415004,Montgomery Area SD,Lycoming
117415103,Montoursville Area SD,Lycoming
117415303,Muncy SD,Lycoming
117416103,South Williamsport Area SD,Lycoming
117417202,Williamsport Area SD,Lycoming
109420803,Bradford Area SD,McKean
109422303,Kane Area SD,McKean
109426003,Otto-Eldred SD,McKean
109426303,Port Allegany SD,McKean
109427503,Smethport Area SD,McKean
104431304,Commodore Perry SD,Mercer
104432503,Farrell Area SD,Mercer
104432803,Greenville Area SD,Mercer
104432903,Grove City Area SD,Mercer
104433303,Hermitage SD,Mercer
104433604,Jamestown Area SD,Mercer
104433903,Lakeview SD,Mercer
104435003,Mercer Area SD,Mercer
104435303,Reynolds SD,Mercer
104435603,Sharon City SD,Mercer
104435703,Sharpsville Area SD,Mercer
104437503,West Middlesex Area SD,Mercer
111444602,Mifflin County SD,Mifflin
120452003,East Stroudsburg Area SD,Monroe
120455203,Pleasant Valley SD,Monroe
120455403,Pocono Mountain SD,Monroe
120456003,Stroudsburg Area SD,Monroe
123460302,Abington SD,Montgomery
123460504,Bryn Athyn SD,Montgomery
123461302,Cheltenham SD,Montgomery
123461602,Colonial SD,Montgomery
123463603,Hatboro-Horsham SD,Montgomery
123463803,Jenkintown SD,Montgomery
123464502,Lower Merion SD,Montgomery
123464603,Lower Moreland Township SD,Montgomery
123465303,Methacton SD,Montgomery
123465602,Norristown Area SD,Montgomery
123465702,North Penn SD,Montgomery
123466103,Perkiomen Valley SD,Montgomery
123466303,Pottsgrove SD,Montgomery
123466403,Pottstown SD,Montgomery
123467103,Souderton Area SD,Montgomery
123467203,Springfield Township SD,Montgomery
123467303,Spring-Ford Area SD,Montgomery
123468303,Upper Dublin SD,Montgomery
123468402,Upper Merion Area SD,Montgomery
123468503,Upper Moreland Township SD,Montgomery
123468603,Upper Perkiomen SD,Montgomery
123469303,Wissahickon SD,Montgomery
116471803,Danville Area SD,Montour
120480803,Bangor Area SD,Northampton
120481002,Bethlehem Area SD,Northampton
120483302,Easton Area SD,Northampton
120484803,Nazareth Area SD,Northampton
120484903,Northampton Area SD,Northampton
120485603,Pen Argyl Area SD,Northampton
120486003,Saucon Valley SD,Northampton
120488603,Wilson Area SD,Northampton
116493503,Line Mountain SD,Northumberland
116495003,Milton Area SD,Northumberland
116495103,Mount Carmel Area SD,Northumberland
116496503,Shamokin Area SD,Northumberland
116496603,Shikellamy SD,Northumberland
116498003,Warrior Run SD,Northumberland
115503004,Greenwood SD,Perry
115504003,Newport SD,Perry
115506003,Susquenita SD,Perry
115508003,West Perry SD,Perry
126515001,Philadelphia City SD,Philadelphia
120522003,Delaware Valley SD,Pike
119648303,Wallenpaupack Area SD,Pike
109530304,Austin Area SD,Potter
109531304,Coudersport Area SD,Potter
109532804,Galeton Area SD,Potter
109535504,Northern Potter SD,Potter
109537504,Oswayo Valley SD,Potter
129540803,Blue Mountain SD,Schuylkill
129544503,Mahanoy Area SD,Schuylkill
129544703,Minersville Area SD,Schuylkill
129545003,North Schuylkill SD,Schuylkill
129546003,Pine Grove Area SD,Schuylkill
129546103,Pottsville Area SD,Schuylkill
129546803,Saint Clair Area SD,Schuylkill
129547303,Schuylkill Haven Area SD,Schuylkill
129547203,Shenandoah Valley SD,Schuylkill
129547603,Tamaqua Area SD,Schuylkill
129547803,Tri-Valley SD,Schuylkill
129548803,Williams Valley SD,Schuylkill
116555003,Midd-West SD,Snyder
116557103,Selinsgrove Area SD,Snyder
108561003,Berlin Brothersvalley SD,Somerset
108561803,Conemaugh Township Area SD,Somerset
108565203,Meyersdale Area SD,Somerset
108565503,North Star SD,Somerset
108566303,Rockwood Area SD,Somerset
108567004,Salisbury-Elk Lick SD,Somerset
108567204,Shade-Central City SD,Somerset
108567404,Shanksville-Stonycreek SD,Somerset
108567703,Somerset Area SD,Somerset
108568404,Turkeyfoot Valley Area SD,Somerset
108569103,Windber Area SD,Somerset
117576303,Sullivan County SD,Sullivan
119581003,Blue Ridge SD,Susquehanna
119582503,Elk Lake SD,Susquehanna
119583003,Forest City Regional SD,Susquehanna
119584503,Montrose Area SD,Susquehanna
119584603,Mountain View SD,Susquehanna
119586503,Susquehanna Community SD,Susquehanna
117596003,Northern Tioga SD,Tioga
117597003,Southern Tioga SD,Tioga
117598503,Wellsboro Area SD,Tioga
116604003,Lewisburg Area SD,Union
116605003,Mifflinburg Area SD,Union
106611303,Cranberry Area SD,Venango
106612203,Franklin Area SD,Venango
106616203,Oil City Area SD,Venango
106617203,Titusville Area SD,Venango
106618603,Valley Grove SD,Venango
105628302,Warren County SD,Warren
101630504,Avella Area SD,Washington
101630903,Bentworth SD,Washington
101631003,Bethlehem-Center SD,Washington
101631203,Burgettstown Area SD,Washington
101631503,California Area SD,Washington
101631703,Canon-McMillan SD,Washington
101631803,Charleroi SD,Washington
101631903,Chartiers-Houston SD,Washington
101632403,Fort Cherry SD,Washington
101633903,McGuffey SD,Washington
101636503,Peters Township SD,Washington
101637002,Ringgold SD,Washington
101638003,Trinity Area SD,Washington
101638803,Washington SD,Washington
119648703,Wayne Highlands SD,Wayne
119648903,Western Wayne SD,Wayne
107650603,Belle Vernon Area SD,Westmoreland
107650703,Burrell SD,Westmoreland
107651603,Derry Area SD,Westmoreland
107652603,Franklin Regional SD,Westmoreland
107653102,Greater Latrobe SD,Westmoreland
107653203,Greensburg Salem SD,Westmoreland
107653802,Hempfield Area SD,Westmoreland
107654103,Jeannette City SD,Westmoreland
107654403,Kiski Area SD,Westmoreland
107654903,Ligonier Valley SD,Westmoreland
107655803,Monessen City SD,Westmoreland
107655903,Mount Pleasant Area SD,Westmoreland
107656303,New Kensington-Arnold SD,Westmoreland
107656502,Norwin SD,Westmoreland
107657103,Penn-Trafford SD,Westmoreland
107657503,Southmoreland SD,Westmoreland
107658903,Yough SD,Westmoreland
119665003,Lackawanna Trail SD,Wyoming
118667503,Tunkhannock Area SD,Wyoming
112671303,Central York SD,York
112671603,Dallastown Area SD,York
112671803,Dover Area SD,York
112672203,Eastern York SD,York
112672803,Hanover Public SD,York
112674403,Northeastern York SD,York
115674603,Northern York County SD,York
112675503,Red Lion Area SD,York
112676203,South Eastern SD,York
112676403,South Western SD,York
112676503,Southern York County SD,York
112676703,Spring Grove Area SD,York
115219002,West Shore SD,York
112678503,West York Area SD,York
112679002,York City SD,York
112679403,York Suburban SD,York
112015106,Adams County Technical Institute,Adams
103020407,A W Beattie Career Center,Allegheny
103023807,Forbes Road CTC,Allegheny
103027307,Parkway West CTC,Allegheny
103028807,Steel Center for Career and Technical Education,Allegheny
128034607,Lenape Tech,Armstrong
127041307,Beaver County CTC,Beaver
108051307,Bedford County Technical Center,Bedford
114060557,Berks CTC,Berks
114067107,Reading Muhlenberg CTC,Berks
108070607,Greater Altoona CTC,Blair
117080607,Northern Tier Career Center,Bradford
122091457,Bucks County Technical High School,Bucks
122097007,Middle Bucks Institute of Technology,Bucks
122099007,Upper Bucks County Technical School,Bucks
104101307,Butler County AVTS,Butler
108110307,Admiral Peary AVTS,Cambria
108112607,Greater Johnstown CTC,Cambria
121131507,Carbon Career & Technical Institute,Carbon
110141607,Central PA Institute of Science & Technology,Centre
124151607,Chester County Technical College HS,Chester
106161357,Clarion County Career Center,Clarion
110171607,Clearfield County CTC,Clearfield
116191757,Columbia-Montour AVTS,Columbia
105201407,Crawford County CTC,Crawford
115211657,Cumberland Perry Area Career & Technical Center,Cumberland
115221607,Dauphin County Technical School,Dauphin
125232407,Delaware County Technical High School,Delaware
105252807,Erie County Technical School,Erie
101266007,Connellsville Area Career & Technical Center,Fayette
101262507,Fayette County Career & Technical Institute,Fayette
112282307,Franklin County CTC,Franklin
111292507,Fulton County Center for Career and Technology,Fulton
101302607,Greene County CTC,Greene
111312607,Huntingdon County CTC,Huntingdon
128324207,Indiana County Technology Center,Indiana
106333407,Jefferson County-DuBois AVTS,Jefferson
119354207,CTC of Lackawanna County,Lackawanna
113363807,Lancaster County CTC,Lancaster
104374207,Lawrence County CTC,Lawrence
113384307,Lebanon County CTC,Lebanon
121393007,Lehigh Career & Technical Institute,Lehigh
118408707,West Side CTC,Luzerne
118408607,Wilkes-Barre Area CTC,Luzerne
117414807,Lycoming CTC,Lycoming
109420107,Seneca Highlands Career and Technical Center,McKean
104435107,Mercer County Career Center,Mercer
111444307,Mifflin County Academy of Science and Technology,Mifflin
120454507,Monroe Career & Tech Inst,Monroe
123460957,Central Montco Technical High School,Montgomery
123463507,Eastern Center for Arts & Technology,Montgomery
123465507,North Montco Tech Career Center,Montgomery
123469007,Western Montgomery CTC,Montgomery
120481107,Bethlehem AVTS,Northampton
120483007,Career Institute of Technology,Northampton
116495207,Northumberland County CTC,Northumberland
126514007,Philadelphia AVTS,Philadelphia
129546907,Schuylkill Technology Centers,Schuylkill
108567807,Somerset County Technology Center,Somerset
119584707,Susquehanna County CTC,Susquehanna
116606707,SUN Area Technical Institute,Union
106619107,Venango Technology Center,Venango
101634207,Mon Valley CTC,Washington
101638907,Western Area CTC,Washington
107651207,Central Westmoreland CTC,Westmoreland
107652207,Eastern Westmoreland CTC,Westmoreland
107656407,Northern Westmoreland CTC,Westmoreland
112679107,York Co School of Technology,York
197010542,Gettysburg Montessori CS,Adams
141019741,Vida CS,Adams
102024758,Catalyst Academy CS,Allegheny
102020001,City CHS,Allegheny
199025446,Environmental CS at Frick Park,Allegheny
103029865,Life Male STEAM Academy CS,Allegheny
102023030,Manchester Academic CS,Allegheny
102023217,Passport Academy CS,Allegheny
103022481,Penn Hills CS of Entrepreneurship,Allegheny
115220003,Pennsylvania Distance Learning CS,Allegheny
160028259,Propel CS-Braddock Hills,Allegheny
103020005,Propel CS-East,Allegheny
103024952,Propel CS-Hazelwood,Allegheny
103020002,Propel CS-Homestead,Allegheny
103020003,Propel CS-McKeesport,Allegheny
103020004,Propel CS-Montour,Allegheny
103028192,Propel CS-Northside,Allegheny
103024162,Propel CS-Pitcairn,Allegheny
102027560,Provident CS,Allegheny
103023410,Spectrum CS,Allegheny
102020003,The New Academy CS,Allegheny
103023090,Urban Academy of Greater Pittsburgh CS,Allegheny
102023080,Urban Pathways 6-12 CS,Allegheny
103028246,Urban Pathways K-5 College CS,Allegheny
103028425,Westinghouse Arts Academy CS,Allegheny
103020368,Young Scholars of Greater Allegheny CS,Allegheny
103025206,Young Scholars of Western Pennsylvania CS,Allegheny
127046517,Baden Academy CS,Beaver
127040002,Lincoln Park Performing Arts CS,Beaver
127043430,Pennsylvania Cyber CS,Beaver
108057079,HOPE for Hyndman CS,Bedford
108070001,Central PA Digital Learning Foundation CS,Blair
122093460,Bucks County Montessori CS,Bucks
122090001,Center for Student Learning CS at Pennsbury,Bucks
122093140,School Lane CS,Bucks
110143060,Centre Learning Community CS,Centre
110143120,Nittany Valley CS,Centre
110140001,Young Scholars of Central PA CS,Centre
124150002,21st Century Cyber CS,Chester
125230001,Achievement House CS,Chester
124150003,Avon Grove CS,Chester
124152880,Chester Co Family Academy CS,Chester
124153320,Collegium CS,Chester
124152637,Insight PA Cyber CS,Chester
124150004,Pennsylvania Leadership CS,Chester
124153350,Renaissance Academy CS,Chester
101833400,Sugar Valley Rural CS,Clinton
116493130,Susq-Cyber CS,Columbia
115227010,Capital Area School for the Arts CS,Dauphin
115220002,Commonwealth Charter Academy CS,Dauphin
115220001,Infinity CS,Dauphin
115227398,Pennsylvania STEAM Academy CS,Dauphin
115222343,Premier Arts and Science CS,Dauphin
115227871,Reach Cyber CS,Dauphin
115223050,Sylvan Heights Science CS,Dauphin
125236827,Chester Charter Scholars Academy CS,Delaware
125232950,Chester Community CS,Delaware
125233517,Vision Academy CS,Delaware
125230002,Widener Partnership CS,Delaware
105257512,Erie Rise Leadership Academy CS,Erie
105250004,Montessori Regional CS,Erie
105250001,Perseus House CS of Excellence,Erie
105252920,Robert Benjamin Wiley Community CS,Erie
111440001,New Day CS,Huntingdon
111315438,Stone Valley Community CS,Huntingdon
119350001,Fell CS,Lackawanna
119355028,Howard Gardner Multiple Intelligence CS,Lackawanna
113362940,La Academia Partnership CS,Lancaster
121395927,Arts Academy CS,Lehigh
121399898,Arts Academy Elementary CS,Lehigh
121394017,Circle of Seasons CS,Lehigh
121398065,Executive Education Academy CS,Lehigh
121395526,Innovative Arts Academy CS,Lehigh
175390169,Lincoln Leadership Academy CS,Lehigh
121393330,Roberto Clemente CS,Lehigh
188392660,Seven Generations CS,Lehigh
118400001,Bear Creek Community CS,Luzerne
104432830,Keystone Education Center CS,Mercer
120450003,Evergreen Community CS,Monroe
126510020,Agora Cyber CS,Montgomery
123460001,Pennsylvania Virtual CS,Montgomery
123463370,Souderton CS Collaborative,Montgomery
120486892,Easton Arts Academy Elementary CS,Northampton
120480002,Lehigh Valley Academy Regional CS,Northampton
120483170,Lehigh Valley Charter High School for the Arts,Northampton
139481451,Lehigh Valley Dual Language CS,Northampton
126510015,Ad Prima CS,Philadelphia
126512990,Alliance for Progress CS,Philadelphia
104510394,Antonia Pantoja Community CS,Philadelphia
181519176,ASPIRA Bilingual Cyber CS,Philadelphia
126510010,Belmont CS,Philadelphia
168513758,Bluford CS,Philadelphia
185515523,Boys Latin of Philadelphia CS,Philadelphia
126513160,Christopher Columbus CS,Philadelphia
126512840,Community Academy of Philadelphia CS,Philadelphia
103519376,Daroff CS,Philadelphia
126516724,Deep Roots CS,Philadelphia
126510011,Discovery CS,Philadelphia
126513440,Esperanza Academy CS,Philadelphia
126511563,Esperanza Cyber CS,Philadelphia
126513100,Eugenio Maria De Hostos CS,Philadelphia
100510000,First Philadelphia Preparatory CS,Philadelphia
126510021,Folk Arts-Cultural Treasures CS,Philadelphia
147513703,Franklin Towne Charter Elementary School,Philadelphia
126513450,Franklin Towne CHS,Philadelphia
126518547,Frederick Douglass Mastery CS,Philadelphia
126513270,Freire CS,Philadelphia
126513380,Global Leadership Academy CS,Philadelphia
126518004,Global Leadership Academy CS Southwest at Huey,Philadelphia
126510005,Green Woods CS,Philadelphia
126512850,Harambee Institute of Science and Technology CS,Philadelphia
126512980,Imhotep Institute CHS,Philadelphia
126513510,Independence CS,Philadelphia
126512039,Independence CS West,Philadelphia
126513070,Inquiry CS,Philadelphia
133513315,John B Stetson CS,Philadelphia
182514568,Keystone Academy CS,Philadelphia
126514864,KIPP DuBois CS,Philadelphia
126514059,KIPP North Philadelphia CS,Philadelphia
126510013,KIPP Philadelphia CS,Philadelphia
126515492,KIPP West Philadelphia CS,Philadelphia
126513110,Laboratory CS,Philadelphia
126519476,Lindley Academy CS at Birney,Philadelphia
126513480,Mariana Bracetti Academy CS,Philadelphia
126510014,Maritime Academy CS,Philadelphia
126513150,MAST Community CS,Philadelphia
126513117,MaST Community CS II,Philadelphia
126511624,MaST Community CS III,Philadelphia
126510002,Mastery CHS-Lenfest Campus,Philadelphia
126518118,Mastery CS John Wister Elementary,Philadelphia
126519644,Mastery CS-Cleveland Elementary,Philadelphia
126511748,Mastery CS-Clymer Elementary,Philadelphia
126518795,Mastery CS-Francis D. Pastorius Elementary,Philadelphia
126513734,Mastery CS-Gratz Campus,Philadelphia
126513290,Mastery CS-Hardy Williams,Philadelphia
126516457,Mastery CS-Harrity Campus,Philadelphia
126519433,Mastery CS-Mann Campus,Philadelphia
151514721,Mastery CS-Pickett Campus,Philadelphia
126510022,Mastery CS-Shoemaker Campus,Philadelphia
